,product_id,manufacturer,product_name,category,material,width_mm,height_mm,depth_mm,weight_kg,unit_price_gbp,currency,lead_time_days,source_document
0,AXP-1001,Aster Build Systems,CLEARVIEW FIXED WINDOW,WINDOW,Aluminium,1200.0,1500,95,42.5,485.0,GBP,21,aster_windows_2026.pdf
1,AXP-1002,Aster Build Systems,CLEARVIEW OPENING WINDOW,WINDOWS,aluminum,900.0,1200,95,34.2,415.0,GBP,21,aster_windows_2026.pdf
2,AXP-1003,NovaDoor Works,OAKLINE INTERNAL DOOR,DOOR,Oak,813.0,2032,44,28.0,275.5,GBP,14,novadoor_catalogue.pdf
3,AXP-1004,NovaDoor Works,SECURECORE EXTERNAL DOOR,DOORS,Steel,900.0,2100,55,64.8,760.0,GBP,28,novadoor_catalogue.pdf
4,AXP-1005,TerraTile Industries,STONEGREY FLOOR TILE,FLOORING,Porcelain,600.0,600,10,8.1,24.9,GBP,10,terratile_price_list.xlsx
6,AXP-1007,Luma Lighting,ARC PENDANT LIGHT,LIGHTING,Aluminium,420.0,310,420,3.4,189.0,GBP,18,luma_arc_datasheet.pdf
7,AXP-1008,Luma Lighting,LINEAR OFFICE LIGHT,LIGHT,aluminium,1200.0,55,75,4.1,132.0,GBP,12,luma_linear.pdf
9,AXP-1010,AquaForm,FLOW BASIN 550,SANITARYWARE,Ceramic,550.0,165,420,12.7,146.0,GBP,16,aquaform_basins.pdf
10,AXP-1011,AquaForm,FLOW WC SUITE,BATHROOM,Ceramic,375.0,790,650,38.0,329.0,GBP,16,aquaform_wc.pdf
11,AXP-1012,ThermaWall,COREBOARD 90,INSULATION,Mineral wool,1200.0,2400,90,18.5,41.2,GBP,9,thermawall_coreboard.pdf
12,AXP-1013,ThermaWall,COREBOARD 140,INSULATION,mineral Wool,1200.0,2400,140,27.8,58.7,GBP,9,thermawall_coreboard.pdf
13,AXP-1014,SteelSpan,UNIVERSAL BEAM 203,STRUCTURE,Steel,203.0,133,6000,152.0,286.0,GBP,30,steelspan_sections.csv
14,AXP-1015,SteelSpan,UNIVERSAL COLUMN 254,STRUCTURAL,steel,254.0,254,6000,439.0,615.0,GBP,35,steelspan_sections.csv
15,AXP-1016,EcoRoof Systems,GREENROOF DRAINAGE BOARD,ROOFING,HDPE,1000.0,2000,25,4.6,36.75,GBP,20,ecoroof_greenroof.pdf
